                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                  89.87,                      0,                0.00465,                0.21814,                0.00385,                 0.0023,                 1.3915,                 3.8411,                 1.0822,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                      0,                 89.862,                      0,                0.00532,                0.25312,                0.00407,                0.00229,                 1.3913,                 3.8459,                  1.079,             8.2525e-05,             8.2525e-05,             8.2525e-05
                      3,                      0,                 89.073,                      0,                0.00568,                0.27759,                0.00402,                0.00213,                   1.42,                 3.8426,                 1.0837,             0.00013072,             0.00013072,             0.00013072
                      4,                      0,                 88.294,                      0,                0.00546,                0.27793,                0.00379,                0.00196,                 1.4446,                 3.8457,                 1.0909,             0.00017792,             0.00017792,             0.00017792
                      5,                      0,                 87.017,                      0,                0.00429,                 0.2396,                0.00271,                 0.0013,                 1.5085,                 3.8177,                 1.0977,             0.00022414,             0.00022414,             0.00022414
                      6,                      0,                 84.316,                      0,                0.00213,                0.13981,                0.00121,                0.00059,                 1.5278,                 3.7803,                 1.0878,             0.00026936,             0.00026936,             0.00026936
                      7,                      0,                 81.864,                      0,                0.00215,                0.12806,                0.00122,                0.00067,                 1.5768,                 3.7569,                 1.0971,              0.0003136,              0.0003136,              0.0003136
                      8,                      0,                 79.462,                      0,                0.00568,                0.29169,                0.00574,                0.00353,                 1.6176,                  3.767,                 1.1302,             0.00035684,             0.00035684,             0.00035684
                      9,                      0,                 76.755,                      0,                0.00622,                 0.3158,                0.00758,                0.00384,                 1.7805,                 3.8043,                 1.3842,             0.00039909,             0.00039909,             0.00039909
                     10,                      0,                 74.026,                      0,                0.00598,                0.28722,                0.01162,                0.00533,                 1.7799,                 3.8518,                 1.5055,             0.00044036,             0.00044036,             0.00044036
                     11,                      0,                  71.61,                      0,                0.00505,                0.19953,                0.03761,                0.01553,                 1.7234,                 3.9781,                 1.4621,             0.00048063,             0.00048063,             0.00048063
                     12,                      0,                  69.72,                      0,                0.00248,                0.09142,                0.00427,                 0.0017,                 1.6403,                 4.0634,                 1.3777,             0.00051991,             0.00051991,             0.00051991
                     13,                      0,                  67.72,                      0,                0.00174,                0.05583,                 0.0039,                0.00097,                 1.8933,                 4.1083,                 1.7348,              0.0005582,              0.0005582,              0.0005582
                     14,                      0,                 65.991,                      0,                0.00108,                0.03155,                0.00109,                0.00015,                 1.9334,                 4.2518,                 2.1485,             0.00059551,             0.00059551,             0.00059551
                     15,                      0,                 65.603,                      0,                0.00054,                0.01537,                0.00028,                  4e-05,                 2.2981,                 4.4957,                 2.8745,             0.00063182,             0.00063182,             0.00063182
                     16,                      0,                 64.057,                      0,                0.00143,                0.04207,                0.00536,                  0.001,                 2.4411,                 4.1922,                 2.5204,             0.00066714,             0.00066714,             0.00066714
                     17,                      0,                 62.118,                      0,                0.00041,                0.01294,                0.00022,                  6e-05,                 2.6591,                 4.2517,                 1.8629,             0.00070147,             0.00070147,             0.00070147
                     18,                      0,                 61.832,                      0,                0.00041,                0.01294,                0.00022,                  6e-05,                 2.6989,                 4.3343,                 1.8509,             0.00073482,             0.00073482,             0.00073482
                     19,                      0,                 60.815,                      0,                0.00041,                0.01294,                0.00022,                  6e-05,                 2.7215,                 4.3956,                 1.8682,             0.00076717,             0.00076717,             0.00076717
                     20,                      0,                 59.831,                      0,                0.00041,                0.01294,                0.00022,                  6e-05,                 2.7088,                 4.4527,                  1.842,             0.00079853,             0.00079853,             0.00079853
                     21,                      0,                 58.885,                      0,                0.00041,                0.01294,                0.00022,                  6e-05,                 2.8008,                 4.4694,                 1.8597,              0.0008289,              0.0008289,              0.0008289
